username,timestamp,original_content,cleaned_content,likes,retweets,replies,total_engagement,engagement_score,mentions,hashtags,url,mentions_buy_terms,mentions_sell_terms,mentions_bullish_terms,mentions_bearish_terms,sentiment_indicator
priyesssssh_07,2025-11-21T07:47:11.000Z,"Banks and NBFC stocks. 

#BankNifty #Nifty50",Banks and NBFC stocks. #BankNifty #Nifty50,0.0,0.0,0.0,0,0.0,[],"['BankNifty', 'Nifty50']",https://x.com/priyesssssh_07/status/1991775382337647059,0,0,0,0,0
DailyProfits21,2025-11-21T07:46:44.000Z,"#Nifty #Nifty50 #INTRADAY #INTRADAY #OptionsTrading #OptionsTrading #Optionselling #trading #PriceAction Check 
t.me/StockMarketInd
…",#Nifty #Nifty50 #INTRADAY #INTRADAY #OptionsTrading #OptionsTrading #Optionselling #trading #PriceAction Check t.me/StockMarketInd ...,0.0,0.0,0.0,0,0.0,[],"['Nifty', 'Nifty50', 'INTRADAY', 'INTRADAY', 'OptionsTrading', 'OptionsTrading', 'Optionselling', 'trading', 'PriceAction']",https://x.com/DailyProfits21/status/1991775270609777084,0,1,0,0,0
nextipoindia,2025-11-21T07:45:01.000Z,"IndiGo’s Bold Move: Investing Over ₹7,000 Crore to Own Aircraft and Cut Leasing Dependence 
nextipoindia.com/indigo-invests
… 
#IndianStockMarket #Nifty50 #Sensex #BSE #NSE #InvestIndia #ShareMarket #EquityMarket #News","IndiGos Bold Move: Investing Over 7,000 Crore to Own Aircraft and Cut Leasing Dependence nextipoindia.com/indigo-invests ... #IndianStockMarket #Nifty50 #Sensex #BSE #NSE #InvestIndia #ShareMarket #EquityMarket #News",0.0,0.0,0.0,0,0.0,[],"['IndianStockMarket', 'Nifty50', 'Sensex', 'BSE', 'NSE', 'InvestIndia', 'ShareMarket', 'EquityMarket', 'News']",https://x.com/nextipoindia/status/1991774839481237993,0,0,0,0,0
Analyst26Guru,2025-11-21T07:45:01.000Z,"Buying Nifty futures at CMP 26143 SL below 26100 intraday only!

#Nifty50",Buying Nifty futures at CMP 26143 SL below 26100 intraday only! #Nifty50,0.0,0.0,0.0,0,0.0,[],['Nifty50'],https://x.com/Analyst26Guru/status/1991774838437081432,1,0,0,0,0
CONTRARIAN12855,2025-11-21T07:44:44.000Z,"Nifty 50 vs Nifty 500
Clearly overall market has taken rejection from Trendline resistance as we can see in Nifty 500 only Nifty 50 is still holding the market. Let’s see for how long it will go.
#Nifty50 #nifty500",Nifty 50 vs Nifty 500 Clearly overall market has taken rejection from Trendline resistance as we can see in Nifty 500 only Nifty 50 is still holding the market. Lets see for how long it will go. #Nifty50 #nifty500,0.0,0.0,0.0,0,0.0,[],"['Nifty50', 'nifty500']",https://x.com/CONTRARIAN12855/status/1991774768828498351,1,0,1,0,0
umakanthonline,2025-11-21T07:43:06.000Z,Intraday one more dip possible but positional nothing changed ! #Nifty50 #JustSaying,Intraday one more dip possible but positional nothing changed ! #Nifty50 #JustSaying,0.6363636363636364,0.36363636363636365,0.0,11,1.3636363636363635,[],"['Nifty50', 'JustSaying']",https://x.com/umakanthonline/status/1991774354871578636,0,0,0,0,0
PavanKu19565108,2025-11-21T07:42:27.000Z,"Maruti

Dec 16700 call ??

Keep an eye on this.

#Nifty50 #OptionsTrading #Chartpatterns",Maruti Dec 16700 call ?? Keep an eye on this. #Nifty50 #OptionsTrading #Chartpatterns,0.0,0.0,0.0,0,0.0,[],"['Nifty50', 'OptionsTrading', 'Chartpatterns']",https://x.com/PavanKu19565108/status/1991774192954667027,0,0,0,0,0
Magicbullindia,2025-11-21T07:42:23.000Z,"#nifty50

Our Todays Strategy at 6 am
I rest my case my lord",#nifty50 Our Todays Strategy at 6 am I rest my case my lord,0.9090909090909091,0.0,0.09090909090909091,11,0.9545454545454546,[],['nifty50'],https://x.com/Magicbullindia/status/1991774175695142934,0,0,0,0,0
Magicbullindia,2025-11-21T07:40:18.000Z,"#nifty50

Wt…f ",#nifty50 Wt...f,1.0,0.0,0.0,8,1.0,[],['nifty50'],https://x.com/Magicbullindia/status/1991773653193961790,0,0,0,0,0
ASR_Official1,2025-11-21T07:39:18.000Z,"All time high hit alert

STOCK: Bharti Airtel

ENTERING IN BLUE  SKY ZONE

#StockToWatch #StockMarketIndia #nifty50 #BlueChipStocks #sharemarketindia",All time high hit alert STOCK: Bharti Airtel ENTERING IN BLUE SKY ZONE #StockToWatch #StockMarketIndia #nifty50 #BlueChipStocks #sharemarketindia,0.0,0.0,0.0,0,0.0,[],"['StockToWatch', 'StockMarketIndia', 'nifty50', 'BlueChipStocks', 'sharemarketindia']",https://x.com/ASR_Official1/status/1991773398968721846,0,0,0,0,0
NiftyNerve,2025-11-21T07:38:00.000Z,"Success in trading isn’t instant—it’s built by learning, observing, and improving every day.

We help you do that with live analysis and actionable setups.

Join here:  
t.me/NiftyNerve

#Nifty #Sensex #Nifty50 #StockMarket #NiftyAnalysis #PriceAction #BankNifty","Success in trading isnt instantits built by learning, observing, and improving every day. We help you do that with live analysis and actionable setups. Join here: t.me/NiftyNerve #Nifty #Sensex #Nifty50 #StockMarket #NiftyAnalysis #PriceAction #BankNifty",1.0,0.0,0.0,1,1.0,[],"['Nifty', 'Sensex', 'Nifty50', 'StockMarket', 'NiftyAnalysis', 'PriceAction', 'BankNifty']",https://x.com/NiftyNerve/status/1991773072567988433,0,0,0,0,0
BeingHumane14,2025-11-21T07:33:51.000Z,"Investors asking why Portfolio stocks not going up while you being at the highs 

#Nifty50 to investors 

#StockMarket #StockMarketIndia #optionstrading",Investors asking why Portfolio stocks not going up while you being at the highs #Nifty50 to investors #StockMarket #StockMarketIndia #optionstrading,0.0,0.0,0.0,0,0.0,[],"['Nifty50', 'StockMarket', 'StockMarketIndia', 'optionstrading']",https://x.com/BeingHumane14/status/1991772026613428272,0,0,0,0,0
chartincontrol,2025-11-21T07:32:53.000Z,"#Nifty is still in the resistance / supply zone 
Markets don’t care about our emotions — they move when they want to, not when we want them to.
Let’s see if we finally get a closing above resistance today.
#Nifty50 #StockMarket #PriceAction #TechnicalAnalysis #MarketUpdate","#Nifty is still in the resistance / supply zone Markets dont care about our emotions  they move when they want to, not when we want them to. Lets see if we finally get a closing above resistance today. #Nifty50 #StockMarket #PriceAction #TechnicalAnalysis #MarketUpdate",1.0,0.0,0.0,2,1.0,[],"['Nifty', 'Nifty50', 'StockMarket', 'PriceAction', 'TechnicalAnalysis', 'MarketUpdate']",https://x.com/chartincontrol/status/1991771785189290277,0,0,1,0,0
Agrawal_Raj,2025-11-21T07:30:56.000Z,"[Automated]

Market Indices at 21-Nov-2025 13:00IST

#NSE #Nifty50 26166(-0.1%) 
#BSE #Sensex 85478(-0.18%) 
#NSE #BankNifty 59123(-0.38%) ",[Automated] Market Indices at 21-Nov-2025 13:00IST #NSE #Nifty50 26166(-0.1%) #BSE #Sensex 85478(-0.18%) #NSE #BankNifty 59123(-0.38%),0.0,0.0,0.0,0,0.0,[],"['NSE', 'Nifty50', 'BSE', 'Sensex', 'NSE', 'BankNifty']",https://x.com/Agrawal_Raj/status/1991771295370080381,0,0,0,0,0
stockhawked,2025-11-21T07:30:00.000Z," Live Market Update at 13:00 IST

 Nifty: 26,174.55 ▼ -0.07%
 Sensex: 85,543.32 ▼ -0.10%

 Top Gainer: Billionbrains Garage ▲ 5.07%
 Top Loser: GE T&D India  ▼ -5.72%

#Nifty50 #Sensex #MarketWatch","Live Market Update at 13:00 IST Nifty: 26,174.55  -0.07% Sensex: 85,543.32  -0.10% Top Gainer: Billionbrains Garage  5.07% Top Loser: GE T&D India  -5.72% #Nifty50 #Sensex #MarketWatch",0.0,0.0,0.0,0,0.0,[],"['Nifty50', 'Sensex', 'MarketWatch']",https://x.com/stockhawked/status/1991771059729658151,0,0,0,0,0
Tanni83,2025-11-21T07:26:37.000Z,26176 in #Nifty50  #nifty,26176 in #Nifty50 #nifty,0.0,0.0,0.0,0,0.0,[],"['Nifty50', 'nifty']",https://x.com/Tanni83/status/1991770208713994368,0,0,0,0,0
TheNishantP,2025-11-21T07:24:37.000Z,"#Nifty50 has entered a new orbit thanks to heavyweight companies.
But most retailers are stuck in small-caps—where valuations are high, growth is slowing and the index is stuck in a long consolidation.
That’s why the crowd feels exhausted, not the market.","#Nifty50 has entered a new orbit thanks to heavyweight companies. But most retailers are stuck in small-capswhere valuations are high, growth is slowing and the index is stuck in a long consolidation. Thats why the crowd feels exhausted, not the market.",0.0,0.0,0.0,0,0.0,[],['Nifty50'],https://x.com/TheNishantP/status/1991769702562165204,1,1,0,0,0
Goldkk4,2025-11-21T07:23:10.000Z,"#HEROZERO

Buy #Nifty 26050 CE 135
SL 70
TGT OPEN 
Work with small lot

Till 197

WhatsApp for paid
9173426857

#Nifty50 #StockMarket #Options
 #Niftybank #Sensex #expiry
#Trading #OptionsTrading 
#optionbuying #Optionselling 
#Stockmarkets #banknifty
#Sharemarket",#HEROZERO Buy #Nifty 26050 CE 135 SL 70 TGT OPEN Work with small lot Till 197 WhatsApp for paid 9173426857 #Nifty50 #StockMarket #Options #Niftybank #Sensex #expiry #Trading #OptionsTrading #optionbuying #Optionselling #Stockmarkets #banknifty #Sharemarket,0.0,0.0,0.0,0,0.0,[],"['HEROZERO', 'Nifty', 'Nifty50', 'StockMarket', 'Options', 'Niftybank', 'Sensex', 'expiry', 'Trading', 'OptionsTrading', 'optionbuying', 'Optionselling', 'Stockmarkets', 'banknifty', 'Sharemarket']",https://x.com/Goldkk4/status/1991769340673450041,1,1,0,0,0
kenbitcom,2025-11-21T07:23:08.000Z,#StockMarket #Nifty #Nifty50 #sensex #OptionTrading #BankNifty #zeebusiness #stockstowatch,#StockMarket #Nifty #Nifty50 #sensex #OptionTrading #BankNifty #zeebusiness #stockstowatch,0.0,0.0,0.0,0,0.0,[],"['StockMarket', 'Nifty', 'Nifty50', 'sensex', 'OptionTrading', 'BankNifty', 'zeebusiness', 'stockstowatch']",https://x.com/kenbitcom/status/1991769332263842048,0,0,0,0,0
chartincontrol,2025-11-21T07:22:53.000Z,"#Sequent is at a support zone — keep it on the radar 
#NIFTY50 #StocksToWatch #TechnicalAnalysis #TradingView",#Sequent is at a support zone  keep it on the radar #NIFTY50 #StocksToWatch #TechnicalAnalysis #TradingView,0.0,0.0,0.0,0,0.0,[],"['Sequent', 'NIFTY50', 'StocksToWatch', 'TechnicalAnalysis', 'TradingView']",https://x.com/chartincontrol/status/1991769267675754758,0,0,0,1,0
TannuNirbhay,2025-11-21T07:22:41.000Z,"#Nifty #Nifty50 #Charts #chart_sab_kuch_bolta_hai 
bang bang",#Nifty #Nifty50 #Charts #chart_sab_kuch_bolta_hai bang bang,1.0,0.0,0.0,1,1.0,[],"['Nifty', 'Nifty50', 'Charts', 'chart_sab_kuch_bolta_hai']",https://x.com/TannuNirbhay/status/1991769218816372777,0,0,0,0,0
shaan1326,2025-11-21T07:22:29.000Z,"Cup and Handle or Just fad?
#Nifty50 #OptionsTrading",Cup and Handle or Just fad? #Nifty50 #OptionsTrading,1.0,0.0,0.0,1,1.0,[],"['Nifty50', 'OptionsTrading']",https://x.com/shaan1326/status/1991769169109660105,0,0,0,0,0
StockStarsX,2025-11-21T07:22:28.000Z,"FULLY EXITED AS TARGET ONE HIT 

GAINS PER LOT 2625/-

#NIFTY #SENSEX #Nifty50",FULLY EXITED AS TARGET ONE HIT GAINS PER LOT 2625/- #NIFTY #SENSEX #Nifty50,0.0,0.0,0.0,0,0.0,[],"['NIFTY', 'SENSEX', 'Nifty50']",https://x.com/StockStarsX/status/1991769163984171409,0,0,0,0,0
Capitaldhan,2025-11-21T07:22:12.000Z,"fucking deep pullbacks :|

#nifty50",fucking deep pullbacks :| #nifty50,0.0,0.0,0.0,0,0.0,[],['nifty50'],https://x.com/Capitaldhan/status/1991769096049111298,0,0,0,0,0
iadi1523,2025-11-21T07:21:34.000Z,30 min high broken. #Nifty50,30 min high broken. #Nifty50,0.0,0.0,0.0,0,0.0,[],['Nifty50'],https://x.com/iadi1523/status/1991768936464150982,0,0,0,0,0
charting_study1,2025-11-21T07:20:00.000Z,"now on 5 min nifty forming  cup and handle pattern

need close  above 26160-165 

#Nifty #Nifty50 #StocksToTrade #StocksToWatch #StocksToBuy #BTST #STBT #BreakoutStocks #HighVolumeStocks #MarketRally #IndianMarket #NSE #BSE #TechnicalAnalysis #PriceAction",now on 5 min nifty forming cup and handle pattern need close above 26160-165 #Nifty #Nifty50 #StocksToTrade #StocksToWatch #StocksToBuy #BTST #STBT #BreakoutStocks #HighVolumeStocks #MarketRally #IndianMarket #NSE #BSE #TechnicalAnalysis #PriceAction,1.0,0.0,0.0,1,1.0,[],"['Nifty', 'Nifty50', 'StocksToTrade', 'StocksToWatch', 'StocksToBuy', 'BTST', 'STBT', 'BreakoutStocks', 'HighVolumeStocks', 'MarketRally', 'IndianMarket', 'NSE', 'BSE', 'TechnicalAnalysis', 'PriceAction']",https://x.com/charting_study1/status/1991768541524275379,1,0,2,0,0
Naren_negi_UK,2025-11-21T07:18:16.000Z,"So far so good!
#Nifty50 is standing firm!
The close above yesterday high will be good omen!
We may hear some good news over the weekend!",So far so good! #Nifty50 is standing firm! The close above yesterday high will be good omen! We may hear some good news over the weekend!,0.0,0.0,0.0,0,0.0,[],['Nifty50'],https://x.com/Naren_negi_UK/status/1991768105975202154,0,0,0,0,0
krunal75777,2025-11-21T07:12:30.000Z,"The way AI is improving its capabilities,

India IT #Stock ke L lagne wale he..

#Nifty50 #StockMarket","The way AI is improving its capabilities, India IT #Stock ke L lagne wale he.. #Nifty50 #StockMarket",0.0,0.0,0.0,0,0.0,[],"['Stock', 'Nifty50', 'StockMarket']",https://x.com/krunal75777/status/1991766656197226924,0,0,0,0,0
Manish__Verma11,2025-11-21T07:11:28.000Z,"26050 support delivered. 

Now 26131 = solid support…
and yes, bias still UP. 

The crowd kept dreaming,
hum unke sapne bhi sell karke nikal gaye. 

Levels ≫ Noise
Swag ≫ Panic 

#Nifty50 #OptionSelling #BearGangWala  #TradingCommunity
#StockMarket","26050 support delivered. Now 26131 = solid support... and yes, bias still UP. The crowd kept dreaming, hum unke sapne bhi sell karke nikal gaye. Levels  Noise Swag  Panic #Nifty50 #OptionSelling #BearGangWala #TradingCommunity #StockMarket",0.6666666666666666,0.3333333333333333,0.0,3,1.3333333333333333,[],"['Nifty50', 'OptionSelling', 'BearGangWala', 'TradingCommunity', 'StockMarket']",https://x.com/Manish__Verma11/status/1991766394778841305,0,2,0,2,0
Equiwealthh,2025-11-21T07:10:56.000Z,"NIFTY Holds Day Low 

Yesterday High Is Crucial For Bulls 

#NIFTY #Nifty50",NIFTY Holds Day Low Yesterday High Is Crucial For Bulls #NIFTY #Nifty50,0.0,0.0,0.0,0,0.0,[],"['NIFTY', 'Nifty50']",https://x.com/Equiwealthh/status/1991766261571936756,0,0,1,0,0
cthchandan,2025-11-21T07:10:16.000Z,"Nifty up -1% Portfolio still down if Nifty is down 1% portfolio down -2% what’s going nowadays!! Anyone can explain? 

#Nifty50 #StockMarket #Portfolio",Nifty up -1% Portfolio still down if Nifty is down 1% portfolio down -2% whats going nowadays!! Anyone can explain? #Nifty50 #StockMarket #Portfolio,0.0,0.0,0.0,0,0.0,[],"['Nifty50', 'StockMarket', 'Portfolio']",https://x.com/cthchandan/status/1991766095196484030,0,0,0,0,0
OptiontraderDK,2025-11-21T07:10:08.000Z,"Anyone here for Green Closing?

Do follow
We are close to 1400 followers.

#Nifty50 #nifty  #StockMarket #banknifty",Anyone here for Green Closing? Do follow We are close to 1400 followers. #Nifty50 #nifty #StockMarket #banknifty,1.0,0.0,0.0,4,1.0,[],"['Nifty50', 'nifty', 'StockMarket', 'banknifty']",https://x.com/OptiontraderDK/status/1991766061310701843,1,0,0,0,0
stockhawked,2025-11-21T07:10:01.000Z," Live Market Update at 12:40 IST

 Nifty: 26,140.25 ▼ -0.20%
 Sensex: 85,458.64 ▼ -0.20%

 Top Gainer: Billionbrains Garage ▲ 5.01%
 Top Loser: GE T&D India  ▼ -6.45%

#Nifty50 #Sensex #MarketWatch","Live Market Update at 12:40 IST Nifty: 26,140.25  -0.20% Sensex: 85,458.64  -0.20% Top Gainer: Billionbrains Garage  5.01% Top Loser: GE T&D India  -6.45% #Nifty50 #Sensex #MarketWatch",0.0,0.0,0.0,0,0.0,[],"['Nifty50', 'Sensex', 'MarketWatch']",https://x.com/stockhawked/status/1991766029752569911,0,0,0,0,0
AnniSin33865560,2025-11-21T07:09:00.000Z," TRADE SETUP – NIFTY
BUY NIFTY 25 Nov 26100 CE
Buy @ 134–137
Targets: 155 / 180
Stoploss: Below 110

 Strictly for educational purposes. Trade with proper risk management.

#Nifty #Nifty50 #NiftyTrade #NiftyLevels #OptionsTrading #OptionBuyers #IntradayTrading",TRADE SETUP  NIFTY BUY NIFTY 25 Nov 26100 CE Buy @ 134137 Targets: 155 / 180 Stoploss: Below 110 Strictly for educational purposes. Trade with proper risk management. #Nifty #Nifty50 #NiftyTrade #NiftyLevels #OptionsTrading #OptionBuyers #IntradayTrading,1.0,0.0,0.0,1,1.0,[],"['Nifty', 'Nifty50', 'NiftyTrade', 'NiftyLevels', 'OptionsTrading', 'OptionBuyers', 'IntradayTrading']",https://x.com/AnniSin33865560/status/1991765776299159641,1,0,0,0,0
JD_TheTrader,2025-11-21T07:08:26.000Z,#Nifty50 will close above yesterday high ,#Nifty50 will close above yesterday high,0.6666666666666666,0.0,0.3333333333333333,3,0.8333333333333334,[],['Nifty50'],https://x.com/JD_TheTrader/status/1991765632828993565,0,0,0,0,0
Eliteswing02,2025-11-21T07:04:43.000Z,"GPPL weekly update.
From 162 to 179. 10% up.
More action will come.

#Nifty #gppl #Nifty50 #Niftypsubank #NiftyMidcap100 #NIFTYSMALLCAP100 #StockMarketIndia #StocksToWatch #StocksToBuy #StocksToTrade",GPPL weekly update. From 162 to 179. 10% up. More action will come. #Nifty #gppl #Nifty50 #Niftypsubank #NiftyMidcap100 #NIFTYSMALLCAP100 #StockMarketIndia #StocksToWatch #StocksToBuy #StocksToTrade,1.0,0.0,0.0,1,1.0,[],"['Nifty', 'gppl', 'Nifty50', 'Niftypsubank', 'NiftyMidcap100', 'NIFTYSMALLCAP100', 'StockMarketIndia', 'StocksToWatch', 'StocksToBuy', 'StocksToTrade']",https://x.com/Eliteswing02/status/1991764695053926818,1,0,0,0,0
stockinfo2021,2025-11-21T07:03:23.000Z,"Ek janab me stock liya 140 pe, bataya nahi ki liya hai, 211 tak gaya tab becha nahi, abhi 156 pe hai, bol rahe hai loss ho gaya. Bhai khareedne ke baad bechna bhi hota hai.
#Nifty50","Ek janab me stock liya 140 pe, bataya nahi ki liya hai, 211 tak gaya tab becha nahi, abhi 156 pe hai, bol rahe hai loss ho gaya. Bhai khareedne ke baad bechna bhi hota hai. #Nifty50",0.0,0.0,0.0,0,0.0,[],['Nifty50'],https://x.com/stockinfo2021/status/1991764362512789555,0,0,0,0,0
BisargaOnline,2025-11-21T07:02:38.000Z,#Sensex is expected to close above 85800 in the current session.  #Nifty50 #Nifty,#Sensex is expected to close above 85800 in the current session. #Nifty50 #Nifty,0.5,0.5,0.0,2,1.5,[],"['Sensex', 'Nifty50', 'Nifty']",https://x.com/BisargaOnline/status/1991764173907456332,0,0,0,0,0
OptiontraderDK,2025-11-21T07:01:10.000Z,"How's the Josh?

Bullish Sir
Stay tuned
 And  
Do follow 
#Nifty50 #nifty #DowJones #NASDAQ100 #stockmarketcrash #niftycrash #StockMarket #nifty #banknifty #sensex #herozero",How's the Josh? Bullish Sir Stay tuned And Do follow #Nifty50 #nifty #DowJones #NASDAQ100 #stockmarketcrash #niftycrash #StockMarket #nifty #banknifty #sensex #herozero,1.0,0.0,0.0,4,1.0,[],"['Nifty50', 'nifty', 'DowJones', 'NASDAQ100', 'stockmarketcrash', 'niftycrash', 'StockMarket', 'nifty', 'banknifty', 'sensex', 'herozero']",https://x.com/OptiontraderDK/status/1991763805190385833,1,1,1,0,0
iadi1523,2025-11-21T06:57:19.000Z,"#Nifty50 #orb 11th Nov 30m orb breakdown and then breakout and gap up.
vs 
21st Nov can it happen again?
#patternsrepeat",#Nifty50 #orb 11th Nov 30m orb breakdown and then breakout and gap up. vs 21st Nov can it happen again? #patternsrepeat,0.0,1.0,0.0,1,2.0,[],"['Nifty50', 'orb', 'patternsrepeat']",https://x.com/iadi1523/status/1991762834695549331,0,0,1,1,0
anandsh41201305,2025-11-21T06:56:20.000Z,"Done 26100 call 

#Nifty 
 #Nifty50 #Optionselling #optionbuying #optionstrading #StockMarket #stockmarketsindia #niftybank  #StocksToBuy #StocksToWatch",Done 26100 call #Nifty #Nifty50 #Optionselling #optionbuying #optionstrading #StockMarket #stockmarketsindia #niftybank #StocksToBuy #StocksToWatch,0.0,0.0,0.0,0,0.0,[],"['Nifty', 'Nifty50', 'Optionselling', 'optionbuying', 'optionstrading', 'StockMarket', 'stockmarketsindia', 'niftybank', 'StocksToBuy', 'StocksToWatch']",https://x.com/anandsh41201305/status/1991762585511936154,1,1,0,0,0
